6 1:0.3434701492537313 2:0.24941625981744853 3:0.21005464480874317 4:0.5105298160053203 5:0.475 6:0.3978663319736429 7:0.26807760141093473 8:0.20970042796005706 9:0.18328840970350405 10:0.25555555555555554
11 1:0.30895522388059704 2:0.2479303757164084 3:0.11562841530054645 4:0.1582797605852361 5:0.33541666666666664 6:0.3715092563539379 7:0.42151675485008816 8:0.4593437945791726 9:0.3638814016172507 10:0.43333333333333335
15 1:0.22238805970149253 2:0.10231373381447675 3:0.0605464480874317 4:0.66792285524274 5:0.6510416666666666 6:0.45465955443991213 7:0.19753086419753085 8:0.11412268188302425 9:0.07547169811320754 10:0.32222222222222224
2 1:0.5541044776119403 2:0.5911696030566759 3:0.6334426229508197 4:0.5710485479937929 5:0.578125 6:0.5352996548478193 7:0.54673721340388 8:0.543509272467903 9:0.42048517520215634 10:0.4444444444444444
11 1:0.6235074626865672 2:0.6883888770961579 3:0.7455737704918033 4:0.6530702726668145 5:0.634375 6:0.3646062127392532 7:0.5908289241622575 8:0.6405135520684736 9:0.49056603773584906 10:0.6444444444444445
3 1:0.4919776119402985 2:0.5166631288473785 3:0.548415300546448 4:0.5630680558634449 5:0.58125 6:0.5189833699403829 7:0.5026455026455027 8:0.5178316690442225 9:0.39892183288409705 10:0.4888888888888889
14 1:0.24421641791044776 2:0.10655911696030566 3:0.07169398907103826 4:0.7166925293726446 5:0.7166666666666667 6:0.46093504863508 7:0.19047619047619047 8:0.10271041369472182 9:0.05121293800539083 10:0.2222222222222222
5 1:0.2953358208955224 2:0.22967522818934408 3:0.2303825136612022 4:0.5162935047661272 5:0.5479166666666667 6:0.4672105428302479 7:0.36155202821869487 8:0.3166904422253923 9:0.2183288409703504 10:0.37777777777777777
14 1:0.19962686567164178 2:0.0740819358947145 3:0.04021857923497268 4:0.6353358457104855 5:0.6041666666666666 6:0.41010354565422025 7:0.13580246913580246 8:0.08416547788873038 9:0.04582210242587601 10:0.2222222222222222
15 1:0.19813432835820896 2:0.06580343876034812 3:0.03825136612021858 4:0.6528485923298604 5:0.6385416666666667 6:0.44838406024474425 7:0.1710758377425044 8:0.07275320970042796 9:0.03773584905660377 10:0.26666666666666666
10 1:0.3440298507462687 2:0.3009976650392698 3:0.3226229508196721 4:0.41609399246286854 5:0.4427083333333333 6:0.42014433636648885 7:0.4444444444444444 8:0.4479315263908702 9:0.3423180592991914 10:0.37777777777777777
2 1:0.5164179104477612 2:0.5381023137338145 3:0.5763934426229508 4:0.5400133008202173 5:0.5614583333333333 6:0.5127078757452149 7:0.5185185185185185 8:0.5135520684736091 9:0.39892183288409705 10:0.4444444444444444
14 1:0.18861940298507462 2:0.06983655274888559 3:0.03825136612021858 4:0.6994014630902239 5:0.6572916666666667 6:0.4524631314716034 7:0.1763668430335097 8:0.08273894436519258 9:0.029649595687331536 10:0.2222222222222222
3 1:0.3656716417910448 2:0.3298662704309064 3:0.34797814207650274 4:0.43028153402793173 5:0.43125 6:0.4279887041104487 7:0.43562610229276894 8:0.4593437945791726 9:0.3692722371967655 10:0.5333333333333333
11 1:0.4735074626865672 2:0.5005306728932286 3:0.5549726775956284 4:0.5590778097982709 5:0.5666666666666667 6:0.5453404455600879 7:0.5379188712522046 8:0.5905848787446505 9:0.4366576819407008 10:0.6444444444444445
11 1:0.4291044776119403 2:0.41859477817873064 3:0.4636065573770492 4:0.5054311682553757 5:0.5 6:0.502353310323188 7:0.5308641975308642 8:0.5649072753209701 9:0.4366576819407008 10:0.4888888888888889
4 1:0.48582089552238805 2:0.5172999363192529 3:0.5446994535519125 4:0.642207936156063 5:0.634375 6:0.34923125196109195 7:0.5379188712522046 8:0.5164051355206848 9:0.40161725067385445 10:0.4888888888888889
12 1:0.3207089552238806 2:0.282530248354914 3:0.30120218579234975 4:0.4362669031256928 5:0.45208333333333334 6:0.433009099466583 7:0.4144620811287478 8:0.4065620542082739 9:0.30727762803234504 10:0.37777777777777777
8 1:0.38843283582089555 2:0.3578857991933772 3:0.3451366120218579 4:0.6727998226557305 5:0.6458333333333334 6:0.34891747725133354 7:0.43386243386243384 8:0.362339514978602 9:0.2722371967654987 10:0.2777777777777778
14 1:0.21511194029850747 2:0.08129908724262365 3:0.03890710382513661 4:0.6841055198403901 5:0.6583333333333333 6:0.4377157201129589 7:0.15343915343915343 8:0.08131241084165478 9:0.03234501347708895 10:0.26666666666666666
